id,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,num_identification_agreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
46316435,Sun May 17 2020 15:00:40 GMT-0600 (MDT),2020-05-17,2020-05-17 21:00:40 UTC,Mountain Time (US & Canada),research,CC-BY-NC-SA,1,false,"Golden, CO, US",39.84203667,-105.36502,5,,,,5,,,false,,,black morel,Morchella angusticeps,black morel,Fungi,133686
46316690,2020-05-15 2:00:00 PM EDT,2020-05-15,2020-05-15 18:00:00 UTC,Eastern Time (US & Canada),needs_id,,2,false,"Ontario, CA",43.0167165341,-80.3246588846,1052,,,,27537,obscured,,true,gps,gps,Esculenta Clade,Morchella,Esculenta Clade,Fungi,1062674
46318013,2020/05/16 12:35 PM PDT,2020-05-16,2020-05-16 19:35:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,2,false,"Oregon, US",44.4564628954,-121.7250466306,49,,,,27317,obscured,,true,,,Mel-2,Morchella tridentina,Mel-2,Fungi,500004
46319541,Sun May 17 2020 11:20:29 GMT-0700 (PDT),2020-05-17,2020-05-17 18:20:29 UTC,Pacific Time (US & Canada),needs_id,CC-BY,0,false,"California, US",39.8202820903,-123.3056660221,109,,,,28030,obscured,,true,,,,Morchella,true morels,Fungi,56830
46322545,Sun May 17 2020 18:41:25 GMT-0400 (EDT),2020-05-17,2020-05-17 22:41:25 UTC,Eastern Time (US & Canada),research,,1,false,"Spooner Rd, Ashville, NY, US",42.08736117,-79.40312167,4,,,,4,,,false,,,Half-free Morel,Morchella punctipes,Half-free Morel,Fungi,133684
46322672,Sun May 17 2020 18:42:24 GMT-0400 (EDT),2020-05-17,2020-05-17 22:42:24 UTC,Eastern Time (US & Canada),needs_id,,1,false,"Spooner Rd, Ashville, NY, US",42.0873945,-79.40306167,4,,,,4,,,false,,,Half-free Morel,Morchella punctipes,Half-free Morel,Fungi,133684
46324349,Sun May 17 2020 13:07:02 GMT-0400 (EDT),2020-05-17,2020-05-17 17:07:02 UTC,Eastern Time (US & Canada),research,CC-BY-NC,2,false,"Cameron Rd, Plainfield, VT, US",44.2631383333,-72.4095216667,,,,,,,,false,,,black morel,Morchella angusticeps,black morel,Fungi,133686
46326326,2020/05/17 2:09 PM EDT,2020-05-17,2020-05-17 18:09:00 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,1,false,United States,45.1672180888,-73.15044508,35,,,,27222,obscured,,true,,,true morels,Morchella,true morels,Fungi,56830
46330022,Sun May 17 2020 15:15:49 GMT-0700 (PDT),2020-05-17,2020-05-17 22:15:49 UTC,Pacific Time (US & Canada),needs_id,CC-BY,0,false,"Sequoia National Park, Springville, CA, US",36.29935833,-118.71112833,13,,,,13,,,false,,,,Morchella snyderi,,Fungi,473933
46332105,Fri May 08 2020 15:43:49 GMT-0500 (CDT),2020-05-08,2020-05-08 15:43:49 UTC,UTC,needs_id,,1,false,"Volga River State Recreation Area, West Union, IA, US",42.89622833,-91.77294167,15,,,,15,,,false,,,white morel,Morchella americana,white morel,Fungi,462132
46333423,2020-05-17T16:45:28-05:00,2020-05-17,2020-05-17 21:45:28 UTC,UTC,needs_id,CC-BY-NC,0,false,Greenup,39.2459176228,-88.1697367986,65,,,,65,,,false,,,,Morchella,true morels,Fungi,56830
46338905,2020-05-17 11:57:33 AM PDT,2020-05-17,2020-05-17 18:57:33 UTC,Pacific Time (US & Canada),research,CC-BY-SA,3,false,"Jackson County, US-OR, US",42.27205952,-122.3761884,3,,,,3,,,false,,,Mel-12,Morchella snyderi,,Fungi,473933
46339158,2020-05-17 2:52:42 PM PDT,2020-05-17,2020-05-17 21:52:42 UTC,Pacific Time (US & Canada),research,CC-BY-SA,3,false,"Jackson County, US-OR, US",42.27302368,-122.38546649,4,,,,4,,,false,,,Mel-2,Morchella tridentina,Mel-2,Fungi,500004
46344442,Sun May 17 2020 16:10:04 GMT-0700 (PDT),2020-05-17,2020-05-17 23:10:04 UTC,Pacific Time (US & Canada),needs_id,,0,false,"Angeles National Forest, Pearblossom, CA, US",34.36104667,-117.91445833,64,,,,64,,,false,,,,Morchella snyderi,,Fungi,473933
