datetime,source_db,scientific_name,geometry,country,prov_state,level_01,level_02,eco_region,lulc
2018-05-05T21:05:00Z,inat,Morchella angusticeps,"c(7161877.68642019, 711164.979953898)",USA,Ohio,Ashtabula,NA,Erie Drift Plain,15
2018-05-09T05:00:00Z,inat,Morchella americana,"c(6216408.57756648, 480258.475572106)",USA,Iowa,Lee,NA,Central Irregular Plains,1
2019-01-19T18:35:47Z,inat,Morchella rufobrunnea,"c(3624366.00051082, 259053.988726482)",USA,California,Los Angeles,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",1
2018-05-13T16:11:01Z,inat,Morchella punctipes,"c(6684027.31464896, 771605.37812261)",USA,Michigan,Ottawa,NA,Southern Michigan/Northern Indiana Drift Plains,1
2019-01-05T16:37:03Z,inat,Morchella snyderi,"c(4911918.15769594, -2029446.87996038)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",14
2008-04-25T08:00:00Z,inat,Morchella brunnea,"c(3671435.00482854, 1285229.62247096)",USA,Oregon,Jackson,NA,Klamath Mountains,17
2008-04-21T08:00:00Z,inat,Morchella tridentina,"c(3671435.41000495, 1285227.4651292)",USA,Oregon,Jackson,NA,Klamath Mountains,3
2008-04-03T08:00:00Z,inat,Morchella populiphila,"c(3669939.07135046, 1295328.82840706)",USA,Oregon,Jackson,NA,Klamath Mountains,17
2018-12-24T17:00:00Z,inat,Morchella rufobrunnea,"c(5117935.52245759, -2061529.28228626)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",1
2018-12-26T20:09:20Z,inat,Morchella rufobrunnea,"c(3515754.52925399, 349354.169799747)",USA,California,Santa Barbara,NA,Southern and Baja California Pine-Oak Mountains,17
2018-04-26T05:00:00Z,inat,Morchella angusticeps,"c(7008133.50639439, 447648.126540828)",USA,Ohio,Franklin,NA,Eastern Corn Belt Plains,1
2010-03-29T12:19:00Z,inat,Morchella americana,"c(5545767.33116636, -691486.687061174)",USA,Texas,Travis,NA,Edwards Plateau,15
2018-12-20T17:37:41Z,inat,Morchella rufobrunnea,"c(3499157.72395888, 819311.183226361)",USA,California,Contra Costa,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2018-12-19T05:21:46Z,inat,Morchella rufobrunnea,"c(5239414.85975181, -2128462.2370789)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",10
2011-05-13T22:45:00Z,inat,Morchella importuna,"c(3734516.19270434, 1495519.30039686)",USA,Oregon,Lane,NA,Willamette Valley,15
2016-05-01T21:14:00Z,inat,Morchella snyderi,"c(4290140.26858128, 142414.747581182)",USA,Arizona,Coconino,NA,Arizona/New Mexico Mountains,15
2017-04-30T05:00:00Z,inat,Morchella americana,"c(7768214.98897119, 703495.221302346)",NA,New York,Queens,NA,Atlantic Coastal Pine Barrens,5
2018-11-19T23:09:00Z,inat,Morchella rufobrunnea,"c(5208390.33638697, -2131605.84550884)",MEX,NA,NA,NA,Interior Plains and Piedmonts with Grasslands and Xeric Shrub,5
2018-11-16T20:47:41Z,inat,Morchella rufobrunnea,"c(5194590.46026111, -1930793.80069155)",MEX,NA,NA,NA,Hills and Interior Plains with Xeric Shrub and Mesquite Low Forest,17
2017-05-09T19:41:58Z,inat,Morchella americana,"c(7759087.03015094, 755936.16952296)",USA,New York,Westchester,NA,Northeastern Coastal Zone,8
2012-04-30T18:17:00Z,inat,Morchella americana,"c(7380172.48009501, 880819.837483881)",USA,New York,Monroe,NA,Eastern Great Lakes Lowlands,15
2018-11-03T21:32:29Z,inat,Morchella rufobrunnea,"c(3469731.22476122, 818489.885844424)",USA,California,Alameda,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",5
2010-08-24T07:15:00Z,inat,Morchella tomentosa,"c(3524152.21678078, 3993745.07605548)",USA,Alaska,Kenai Peninsula,NA,Pacific Coastal Mountains,1
2017-05-10T16:00:00Z,inat,Morchella americana,"c(7110272.42637714, 880440.451884729)",CAN,Ontario,Perth,Perth East,Eastern Great Lakes Lowlands,17
2008-05-11T20:45:00Z,inat,Morchella americana,"c(7230012.74720198, 935059.564813104)",CAN,Ontario,Toronto,Toronto,Lake Erie Lowland,15
2016-05-06T22:26:00Z,inat,Morchella americana,"c(3798785.27501593, 1457142.08375153)",USA,Oregon,Lane,NA,Cascades,7
2017-04-26T02:56:00Z,inat,Morchella americana,"c(7243511.7028346, 556875.884195829)",USA,Pennsylvania,Allegheny,NA,Western Allegheny Plateau,18
2018-10-12T09:26:00Z,inat,Morchella tridentina,"c(5245380.30296832, -2139704.60185759)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",17
2018-10-12T12:55:54Z,inat,Morchella rufobrunnea,"c(5134438.99619766, -1299135.28114647)",MEX,NA,NA,NA,Chihuahuan Desert,17
2018-04-26T17:44:16Z,inat,Morchella angusticeps,"c(7495010.56147803, 571878.190623423)",USA,Pennsylvania,Cumberland,NA,Blue Ridge,17
2018-05-15T18:05:00Z,inat,Morchella americana,"c(6924031.28826403, 745004.282461422)",USA,Michigan,Oakland,NA,Huron/Erie Lake Plains,7
2018-10-07T20:01:38Z,inat,Morchella rufobrunnea,"c(3621594.45986368, 263758.60677391)",USA,California,Los Angeles,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",1
