latitude,longitude,datetime,source_db,scientific_name
38.5236,-93.2158,2017-04-12T16:10:30Z,tgm,NA
41.8612,-122.826,2017-04-12T16:12:33Z,tgm,NA
42.3126,-122.97,2017-04-12T16:32:23Z,tgm,NA
37.7705,-89.0824,2017-04-12T16:35:07Z,tgm,NA
39.5364,-88.8834,2017-04-12T16:38:05Z,tgm,NA
39.5114,-82.4119,2017-04-12T16:39:18Z,tgm,NA
38.096,-94.3635,2017-04-12T16:43:18Z,tgm,NA
40.293406,-84.129353,2017-04-12T16:52:36Z,tgm,NA
37.0443,-86.2091,2017-04-12T17:48:03Z,tgm,NA
39.3926,-80.2986,2017-04-13T06:43:58Z,tgm,NA
42.1265,-121.93,2017-04-13T06:51:10Z,tgm,NA
37.9873,-83.5216,2017-04-13T06:53:23Z,tgm,NA
39.6062,-79.8812,2017-04-13T06:54:34Z,tgm,NA
35.5199,-82.5595,2017-04-13T06:58:43Z,tgm,NA
40.1041,-84.6208,2017-04-13T07:01:47Z,tgm,NA
40.1356,-87.5884,2017-04-13T07:04:28Z,tgm,NA
38.9742,-95.1105,2017-04-13T07:05:55Z,tgm,NA
37.2157,-82.7052,2017-04-13T07:07:13Z,tgm,NA
39.1728,-85.7403,2017-04-13T07:09:16Z,tgm,NA
39.1314,-88.4813,2017-04-13T07:11:07Z,tgm,NA
39.5379,-82.4073,2017-04-13T07:14:57Z,tgm,NA
41.1914,-87.0527,2017-04-13T07:16:09Z,tgm,NA
41.7723,-81.053,2017-04-13T07:18:24Z,tgm,NA
39.3006,-93.1333,2017-04-13T07:21:43Z,tgm,NA
41.494435,-87.814407,2017-04-13T10:38:17Z,tgm,NA
37.4204,-82.0198,2017-04-13T10:43:36Z,tgm,NA
41.1492,-81.361,2017-04-14T04:33:09Z,tgm,NA
38.541,-78.1317,2017-04-14T04:37:22Z,tgm,NA
36.1245,-83.9941,2017-04-14T04:41:11Z,tgm,NA
37.1521,-81.1501,2017-04-14T04:42:22Z,tgm,NA
40.002898,-84.250031,2017-04-14T05:00:46Z,tgm,NA
36.4259,-89.0469,2017-04-14T05:08:08Z,tgm,NA
40.1998,-77.2044,2017-04-14T05:21:26Z,tgm,NA
39.909736,-95.185547,2017-04-14T05:39:24Z,tgm,NA
39.162,-87.1994,2017-04-14T05:45:08Z,tgm,NA
41.2397,-95.8583,2017-04-14T05:46:47Z,tgm,NA
38.9468,-84.6729,2017-04-14T05:49:49Z,tgm,NA
39.6525,-85.0539,2017-04-14T06:09:10Z,tgm,NA
39.6672,-79.8565,2017-04-14T06:21:36Z,tgm,NA
40.800296,-80.407562,2017-04-14T11:57:16Z,tgm,NA
41.3359,-89.2033,2017-04-15T07:54:44Z,tgm,NA
41.301,-83.4717,2017-04-15T08:00:24Z,tgm,NA
38.8383,-97.6083,2017-04-15T08:01:52Z,tgm,NA
40.6539,-80.3514,2017-04-15T08:04:18Z,tgm,NA
41.1647,-87.8451,2017-04-15T08:06:15Z,tgm,NA
40.8777,-91.9473,2017-04-15T08:30:59Z,tgm,NA
40.3736,-86.3328,2017-04-15T08:36:27Z,tgm,NA
45.2256,-121.293,2017-04-15T08:45:40Z,tgm,NA
40.2619,-81.8482,2017-04-15T08:48:03Z,tgm,NA
40.9149,-95.9267,2017-04-15T08:52:25Z,tgm,NA
38.6865,-80.4026,2017-04-15T09:01:18Z,tgm,NA
39.5611,-84.2349,2017-04-15T09:04:50Z,tgm,NA
39.166,-89.6529,2017-04-15T09:12:03Z,tgm,NA
38.5951,-90.5501,2017-04-15T10:50:37Z,tgm,NA
40.4495,-80.2445,2017-04-15T10:50:37Z,tgm,NA
41.68522,-88.395996,2017-04-15T10:50:37Z,tgm,NA
41.6684,-85.9719,2017-04-16T10:08:20Z,tgm,NA
43.5966,-84.7758,2017-04-16T10:08:20Z,tgm,NA
38.8843,-77.1746,2017-04-16T10:08:20Z,tgm,NA
39.2656,-86.3369,2017-04-16T10:08:20Z,tgm,NA
45.5377,-121.568,2017-04-16T10:18:22Z,tgm,NA
35.9061,-84.0262,2017-04-16T10:19:18Z,tgm,NA
47.483,-122.211,2017-04-16T10:20:08Z,tgm,NA
38.7423,-85.0789,2017-04-16T10:22:43Z,tgm,NA
39.8427,-86.3931,2017-04-16T10:23:52Z,tgm,NA
40.0287,-86.1565,2017-04-16T10:24:56Z,tgm,NA
40.0338,-86.4761,2017-04-16T10:26:55Z,tgm,NA
40.5677,-89.6269,2017-04-16T10:27:49Z,tgm,NA
40.17,-85.2686,2017-04-16T10:28:57Z,tgm,NA
40.1502,-84.2437,2017-04-16T10:29:29Z,tgm,NA
38.8603,-86.4895,2017-04-16T10:34:17Z,tgm,NA
42.5387,-123.149,2017-04-17T08:03:30Z,tgm,NA
39.7969,-81.3355,2017-04-17T08:03:30Z,tgm,NA
42.3972,-83.3733,2017-04-17T08:13:34Z,tgm,NA
47.0379,-122.901,2017-04-17T08:18:08Z,tgm,NA
40.509,-80.2392,2017-04-17T08:19:09Z,tgm,NA
41.5164,-92.0776,2017-04-17T08:23:15Z,tgm,NA
39.403,-94.886,2017-04-17T11:09:13Z,tgm,NA
41.3226,-92.3304,2017-04-17T11:09:13Z,tgm,NA
39.909736,-95.185547,2017-04-17T11:09:13Z,tgm,NA
40.2545,-84.3369,2017-04-17T11:09:13Z,tgm,NA
38.8603,-86.4895,2017-04-17T11:09:13Z,tgm,NA
41.7961,-89.6035,2017-04-17T11:09:13Z,tgm,NA
41.1886,-80.9701,2017-04-17T11:18:22Z,tgm,NA
39.263095,-94.718628,2017-04-17T11:19:58Z,tgm,NA
42.1139,-91.2706,2017-04-17T11:23:41Z,tgm,NA
40.6542,-89.5496,2017-04-17T11:25:37Z,tgm,NA
41.8774,-88.1507,2017-04-17T11:27:20Z,tgm,NA
41.63546,-91.527786,2017-04-17T11:28:49Z,tgm,NA
47.6786,-120.216,2017-04-17T11:31:28Z,tgm,NA
37.3762,-96.8761,2017-04-17T11:32:43Z,tgm,NA
38.9961,-94.8241,2017-04-17T11:34:00Z,tgm,NA
39.7998,-83.8948,2017-04-17T13:18:22Z,tgm,NA
42.5357,-89.0269,2017-04-17T14:45:49Z,tgm,NA
40.234,-90.6223,2017-04-17T16:01:33Z,tgm,NA
42.6772,-86.0061,2017-04-17T16:03:54Z,tgm,NA
40.4757,-93.0044,2017-04-17T16:05:38Z,tgm,NA
38.2408,-85.5222,2017-04-17T16:07:13Z,tgm,NA
41.195,-87.1986,2017-04-17T16:11:21Z,tgm,NA
35.7583,-83.9478,2017-04-17T16:12:06Z,tgm,NA
36.8862,-81.192,2017-04-17T16:13:55Z,tgm,NA
39.2403,-86.4992,2017-04-17T16:16:03Z,tgm,NA
38.9267,-94.88,2017-04-17T16:17:17Z,tgm,NA
39.3729,-86.2586,2017-04-17T16:21:07Z,tgm,NA
40.8296,-95.99,2017-04-17T16:40:57Z,tgm,NA
43.2199,-85.562,2017-04-17T16:42:34Z,tgm,NA
